"Message","Id","Version","Qualifiers","Level","Task","Opcode","Keywords","RecordId","ProviderName","ProviderId","LogName","ProcessId","ThreadId","MachineName","UserId","TimeCreated","ActivityId","RelatedActivityId","ContainerLog","MatchedQueryIds","Bookmark","LevelDisplayName","OpcodeDisplayName","TaskDisplayName","KeywordsDisplayNames","Properties"
"Usuni?to element Port.

funkcji Hyper-V. Kod b??du: 	0
Identyfikator GUID dzia?ania: nazwa prze??cznika 	{ac287ca9-d78a-4e20-a603-fd7a313c0693}
:nazwa portu 	790E58B4-7939-4434-9358-89AE7DDBE87E
:	600E5080-7500-4406-B020-E29F6EB89E96","2087","0",,"4","0","0","-9223372036854775808","14608","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","65020","Asia","S-1-5-19","4.01.2025 14:48:34",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Utworzono element Port.

funkcji Hyper-V. Kod b??du: 	0
Identyfikator GUID dzia?ania:	{ac287ca9-d78a-4e20-a603-fd7a313c0693}
Nazwa prze??cznika:nazwa portu 	790E58B4-7939-4434-9358-89AE7DDBE87E
:identyfikator tw?rcy maszyny wirtualnej 	600E5080-7500-4406-B020-E29F6EB89E96
:identyfikator guid interfejsu 	{40e0ac32-46a5-438a-a0b2-2b479e8f2e90}
:identyfikator GUID partycji 	{00000000-0000-0000-0000-000000000000}
:	{eec10a0b-6fa4-4edc-9a36-53e7cb7bf2c4}
ograniczony:	Nie","2085","0",,"4","0","0","-9223372036854775808","14607","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","65020","Asia","S-1-5-19","4.01.2025 14:46:37",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Profil sieciowy zosta? zmieniony w interfejsie.

Identyfikator GUID karty:	{eaf2fdd6-4abb-4aa7-b58b-829779769dd3}
Nazwa karty:	ethernet_32778
Stary profil:	Brak
Nowy profil:	Publiczne","2010","0",,"4","0","0","-9223372036854775808","14606","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","17760","Asia","S-1-5-19","4.01.2025 14:46:37",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Dodano regu?? do listy wyj?tk?w Zapory Windows Defender.

Dodana regu?a:
	Identyfikator regu?y:	HNS Container Networking - DNS (UDP-In) - 790E58B4-7939-4434-9358-89AE7DDBE87F - 0
	Nazwa regu?y	HNS Container Networking - DNS (UDP-In) - 790E58B4-7939-4434-9358-89AE7DDBE87F - 0
	Pochodzenie:	Lokalny
	Aktywna:	Tak
	Kierunek:	Przychodz?cy
	Profile:	Prywatne, domena, publiczne
	Akcja:	Zezwalaj
	?cie?ka do aplikacji:	
	Nazwa us?ugi:	
	Protok??:	UDP
	Opcje zabezpiecze?:	Brak
	Przechodzenie kraw?dzi:	Brak
	Modyfikuj?cy u?ytkownik:	S-1-5-18
	Modyfikuj?ca aplikacja:	C:\Windows\System32\svchost.exe
	Identyfikator PolicyAppId:	
	Kod b??du:	0","2097","0",,"4","0","0","-9223369837831520256","14605","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","39088","Asia","S-1-5-19","4.01.2025 14:46:37",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Dodano regu?? do listy wyj?tk?w Zapory Windows Defender.

Dodana regu?a:
	Identyfikator regu?y:	HNS Container Networking - ICS DNS (TCP-In) - 790E58B4-7939-4434-9358-89AE7DDBE87F - 0
	Nazwa regu?y	HNS Container Networking - ICS DNS (TCP-In) - 790E58B4-7939-4434-9358-89AE7DDBE87F - 0
	Pochodzenie:	Lokalny
	Aktywna:	Tak
	Kierunek:	Przychodz?cy
	Profile:	Prywatne, domena, publiczne
	Akcja:	Zezwalaj
	?cie?ka do aplikacji:	%SystemRoot%\system32\svchost.exe
	Nazwa us?ugi:	sharedaccess
	Protok??:	TCP
	Opcje zabezpiecze?:	Brak
	Przechodzenie kraw?dzi:	Brak
	Modyfikuj?cy u?ytkownik:	S-1-5-18
	Modyfikuj?ca aplikacja:	C:\Windows\System32\svchost.exe
	Identyfikator PolicyAppId:	
	Kod b??du:	0","2097","0",,"4","0","0","-9223369837831520256","14604","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","39088","Asia","S-1-5-19","4.01.2025 14:46:37",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Dodano zduplikowan? regu??

Nazwa regu?y:	HNS Container Networking - ICS DNS (TCP-In) - 790E58B4-7939-4434-9358-89AE7DDBE87F - 0
","2084","0",,"4","0","0","-9223372036854775808","14603","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","39088","Asia","S-1-5-19","4.01.2025 14:46:37",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Zaktualizowano regu?? funkcji Hyper-V.

Kod b??du: 	0
?r?d?o:	Lokalny
Identyfikator regu?y:	WslCore-Allow-Inbound-mDNS-IPv6-1-40e0ac32-46a5-438a-a0b2-2b479e8f2e90
Nazwa regu?y:	WslCore Inbound IPv6 mDNS Default Allow Rule
Identyfikator tw?rcy maszyny wirtualnej:	{40e0ac32-46a5-438a-a0b2-2b479e8f2e90}
Priorytet:	0
Kierunek:	Przychodz?cy
Akcja:	3
Protok??:	UDP
Porty lokalne:	5353
Porty zdalne:	*
Adresy lokalne:	ff02::fb-ff02::fb
Adresy zdalne:	*
Aktywne:	Tak
U?ytkownik modyfikuj?cy:	S-1-5-18
	Aplikacja modyfikuj?ca:	C:\Windows\System32\wbem\WmiPrvSE.exe","2091","0",,"4","0","0","-9223372036854775808","14602","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","65020","Asia","S-1-5-19","4.01.2025 14:46:36",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Zaktualizowano regu?? funkcji Hyper-V.

Kod b??du: 	0
?r?d?o:	Lokalny
Identyfikator regu?y:	WslCore-Allow-Inbound-mDNS-IPv4-1-40e0ac32-46a5-438a-a0b2-2b479e8f2e90
Nazwa regu?y:	WslCore Inbound IPv4 mDNS Default Allow Rule
Identyfikator tw?rcy maszyny wirtualnej:	{40e0ac32-46a5-438a-a0b2-2b479e8f2e90}
Priorytet:	0
Kierunek:	Przychodz?cy
Akcja:	3
Protok??:	UDP
Porty lokalne:	5353
Porty zdalne:	*
Adresy lokalne:	224.0.0.251-224.0.0.251
Adresy zdalne:	*
Aktywne:	Tak
U?ytkownik modyfikuj?cy:	S-1-5-18
	Aplikacja modyfikuj?ca:	C:\Windows\System32\wbem\WmiPrvSE.exe","2091","0",,"4","0","0","-9223372036854775808","14601","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","65020","Asia","S-1-5-19","4.01.2025 14:46:36",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Zaktualizowano regu?? funkcji Hyper-V.

Kod b??du: 	0
?r?d?o:	Lokalny
Identyfikator regu?y:	WslCore-Allow-Inbound-ICMPv4-1-40e0ac32-46a5-438a-a0b2-2b479e8f2e90
Nazwa regu?y:	WslCore Inbound ICMPv4 Default Allow Rule
Identyfikator tw?rcy maszyny wirtualnej:	{40e0ac32-46a5-438a-a0b2-2b479e8f2e90}
Priorytet:	0
Kierunek:	Przychodz?cy
Akcja:	3
Protok??:	ICMP V4
Porty lokalne:	3,11
Porty zdalne:	*
Adresy lokalne:	*
Adresy zdalne:	*
Aktywne:	Tak
U?ytkownik modyfikuj?cy:	S-1-5-18
	Aplikacja modyfikuj?ca:	C:\Windows\System32\wbem\WmiPrvSE.exe","2091","0",,"4","0","0","-9223372036854775808","14600","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","65020","Asia","S-1-5-19","4.01.2025 14:46:36",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Zaktualizowano regu?? funkcji Hyper-V.

Kod b??du: 	0
?r?d?o:	Lokalny
Identyfikator regu?y:	WslCore-Allow-Inbound-ICMPv6-1-40e0ac32-46a5-438a-a0b2-2b479e8f2e90
Nazwa regu?y:	WslCore Inbound ICMPv6 Default Allow Rule
Identyfikator tw?rcy maszyny wirtualnej:	{40e0ac32-46a5-438a-a0b2-2b479e8f2e90}
Priorytet:	0
Kierunek:	Przychodz?cy
Akcja:	3
Protok??:	ICMP V6
Porty lokalne:	135,136,1,3
Porty zdalne:	*
Adresy lokalne:	*
Adresy zdalne:	*
Aktywne:	Tak
U?ytkownik modyfikuj?cy:	S-1-5-18
	Aplikacja modyfikuj?ca:	C:\Windows\System32\wbem\WmiPrvSE.exe","2091","0",,"4","0","0","-9223372036854775808","14599","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","65020","Asia","S-1-5-19","4.01.2025 14:46:36",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Zmieniono ustawienie maszyny wirtualnej zapory funkcji Hyper-V. 
Kod b??du: 	0
?r?d?o:	7
Identyfikator tw?rcy maszyny wirtualnej: 	{40e0ac32-46a5-438a-a0b2-2b479e8f2e90}
Ustawienie:	W??cz sprz??enie zwrotne
	Warto??:	1
	Modyfikowanie elementu User:	S-1-5-18
	Modyfikowanie elementu Application:	C:\Windows\System32\wbem\WmiPrvSE.exe","2088","0",,"4","0","0","-9223372036854775808","14598","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","65020","Asia","S-1-5-19","4.01.2025 14:46:36",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Tw?rca maszyny wirtualnej funkcji Hyper-V zosta? zarejestrowany w us?udze zapory.

Kod b??du: 	183
Identyfikator: 	{40e0ac32-46a5-438a-a0b2-2b479e8f2e90}
Przyjazna nazwa:	WSL","2095","0",,"4","0","0","-9223372036854775808","14597","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","65020","Asia","S-1-5-19","4.01.2025 14:46:36",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
"Ustawienie Zapora Windows Defender w profilu Prywatne zosta?o zmienione.
Nowe ustawienie:
	Typ:	?cie?ka do pliku dziennika
	Warto??:	C:\Windows\System32\LogFiles\Firewall\pfirewall.log
	Modyfikowanie user:	S-1-5-21-1638383580-2700810986-3517664030-1001
	Modyfikowanie application:	C:\Windows\System32\wbem\WmiPrvSE.exe
	Kod b??du:	0","2082","0",,"4","0","0","-9223372036854775808","14596","Microsoft-Windows-Windows Firewall With Advanced Security","d1bc9aff-2abf-4d71-9146-ecb2a986eb85","Microsoft-Windows-Windows Firewall With Advanced Security/Firewall","4432","65020","Asia","S-1-5-19","4.01.2025 14:39:12",,,"c:\users\mateu\downloads\zapora.evtx","System.UInt32[]","System.Diagnostics.Eventing.Reader.EventBookmark","Informacje","Informacje",,"System.Collections.ObjectModel.ReadOnlyCollection`1[System.String]","System.Collections.Generic.List`1[System.Diagnostics.Eventing.Reader.EventProperty]"
